,source_id,Teff_ms_med,Teff_ms_errp,Teff_ms_errm,R_ms_med,R_ms_errp,R_ms_errm,Teff_wd_med,Teff_wd_errp,Teff_wd_errm,R_wd_med,R_wd_errp,R_wd_errm,M_ms_fromR_med,M_wd_fromR_med,EBV_fixed,parallax,ztf_period_hr,reference,tau_cool,tau_cool_high,tau_cool_low,M_wd_fromR_errm,M_wd_fromR_errp,M_ms_fromR_errm,M_ms_fromR_errp,has_real_EBV,has_galex,ref_letter,P_RL_days,t_to_roche_RVJ_Gyr,t_to_roche_SAT_Gyr
7,1177642000628467072,3123.930045608804,11.347489165561456,9.745149667513488,0.2511992557479126,0.0024317751860081,0.0028012167413297,10489.054677114687,92.4651616455012,85.89397047923558,0.0105299585027273,7.361678882182934e-05,7.547330047247627e-05,0.2400130876368842,0.797860106948049,0.009557981287,8.185542,5.743044503,Parsons15,0.842456040676057,0.829683825579572,0.8569198372506781,0.00593279286404802,0.005258342058702126,0.0031434468409491656,0.0027288698919910315,True,True,(f),0.09598274079939988,0.9261397010947202,3.8775933593191394
8,2562060180904793344,3055.0116614454,48.85939706638965,78.69850160256374,0.2955374141736274,0.021875162908763,0.0137707335949965,10005.024020039808,117.14191707292956,654.602007429774,0.0174797458765602,0.0028520970638783,0.0004048098273623,0.2934107336807281,0.4240084707813263,0.008585783214,7.822264,5.025926069,,0.5623413251903491,0.5623413251903491,0.6313486981680303,0.013493660912076655,0.07245944670038346,0.017330614726468963,0.027530125235177227,True,True,--,0.1072476196234135,0.1745498271360256,1.4379411849386103
9,739390405396929152,3010.5433961296703,13.084755330864937,12.664751936089942,0.3048737320036977,0.0041689970181718,0.0040322398662195,13950.545652715316,174.34599049340068,239.2435399211663,0.0087836267818988,0.000165468493867,0.000144713036333,0.3051655381051504,0.9430311015084284,0.0073839146,7.468908,3.096963087,RebassaMansergas13,0.7037666470290641,0.7057559391017961,0.6355593790226917,0.013077523934986623,0.013789041155583326,0.005074616767806017,0.005246727098401294,True,True,(g),0.11367597956901342,0.021911852198067582,0.35676840473620697
25,1319840357685479936,3161.5041015803326,28.855503520390812,25.709135827274167,0.1775483454997369,0.0037990490264616,0.0036188658973516,7532.724286108984,737.6282352448707,344.68096630471246,0.010255303666755,0.000369037234075,0.0009204061583793,0.1573838488446133,,0.02335969594,7.073376,3.886452684,,2.513402776236699,2.0054597197271553,3.5481338923357604,,,0.004060989785263341,0.004263186237839278,True,False,--,0.07059338572253711,1.0421225590664862,2.6679587164682013
10,3639624796381535488,2891.6657733853776,23.98622685592227,169.41530174447962,0.2641955605334352,0.0064543360640656,0.0043169072089777,8070.917442995015,230.40294790234384,130.66728101490844,0.0139182752446676,0.0063247264054554,0.0002068899414038,0.2545936918401661,0.5712069308517953,0.0286981859,7.036086,13.70344595,,1.0,0.8912509381337441,1.0,0.011493885633544476,0.21763878653641372,0.004844312162110731,0.007481453473505262,True,True,--,0.09952435656628753,11.113569954526838,11.820703393036753
11,627874465774248704,3172.440165145422,13.248380056357291,11.608804257076828,0.2734102328077902,0.0025802004209308,0.0028025015512605,10178.149092026706,119.5309671245559,208.4367752972903,0.0135432616188844,0.0003013005811891,9.510669881916332e-05,0.2655517110817533,0.5920410211730835,0.01215316415,6.979695,11.55424279,,0.5623413251903491,0.5011872336272715,0.5623413251903491,0.005283705489953605,0.016738921177172128,0.003526978016107629,0.0032472096786820837,True,True,--,0.10256790126724329,5.6001069680492295,9.076635904757598
26,2914094632703687040,3342.0268826271063,29.578468780038293,40.5750558754753,0.1867823539317931,0.0042339467368284,0.0038449242496413,6091.639757268996,458.6423610043157,281.7949829347026,0.0193572627403364,0.0005292503839248,0.0006733782558858,0.1677435183337098,,0.006699585851,6.664138,3.671119554,,1.9952623149688828,1.584893192461111,2.238721138568338,,,0.004314666126294331,0.004751216247662615,True,False,--,0.07286729520604152,0.3812909001285862,1.2724863288628723
27,433584335876697216,3114.45679220799,39.942006629180014,53.22950108777286,0.1875778954903532,0.0053321053274756,0.0054196982420337,11320.541953333388,1177.3395004904214,1114.3123513746468,0.0125147557815063,0.001864004302202,0.0014267868012507,0.1686360394606034,,0.03602142665,6.104627,8.630726459,,0.5011872336272715,0.36821824839675665,0.6902342864213533,,,0.006081833321377184,0.005983539010017885,True,False,--,0.07401838246160752,10.738832047711703,8.481898976275783
28,2930237658128938112,2904.7346925603415,43.30304454084808,39.13125788889192,0.1933365733766784,0.0066254763826986,0.0065218078286186,5905.125752731149,142.12869348349705,179.6372396364004,0.0198169568976372,0.000325758970799,0.000254122812135,0.1750967222762476,,0.0134539072,6.079769,2.602443074,,2.238721138568338,2.2175057207095987,2.238721138568338,,,0.007318589780531293,0.007434923723571241,True,False,--,0.07489745290384141,0.07953859529439906,0.48108236887216393
29,1852533366019788544,2830.6537239052104,74.25443866089336,447.1939562195243,0.1721692674861757,0.0835891136262705,0.0120634950747734,13829.102508687392,3670.893314205965,7216.669304989142,0.005366665888671,0.0127844263510406,0.0009741204736577,0.1513490405826773,,0.01212155706,5.997473,25.2512893,,0.8733158011584177,0.45840582448550793,5.493137702022652,,,0.013537315740017208,0.09380135827744385,True,False,--,0.06845083043704757,856.8643713280092,62.943371261539994
